                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.04299,                0.17472,                0.86688,                0.96115,                0.97147,                0.97839,                0.97839,                0.07444,                0.16664,                0.26466,              0.0039412,              0.0039412,              0.0039412
                    156,                0.04242,                0.17548,                0.86886,                 0.9626,                0.96619,                0.97764,                0.97764,                 0.0744,                0.16833,                0.26474,              0.0039016,              0.0039016,              0.0039016
                    157,                0.04132,                0.17665,                0.86611,                0.96244,                0.97066,                0.97804,                0.97804,                0.07413,                0.16835,                0.26469,               0.003862,               0.003862,               0.003862
                    158,                0.04178,                 0.1735,                0.86651,                0.96218,                0.97104,                0.97804,                0.97804,                0.07401,                0.16739,                 0.2646,              0.0038224,              0.0038224,              0.0038224
                    159,                0.04174,                0.17493,                0.86763,                0.95988,                0.96884,                0.97769,                0.97769,                0.07388,                0.16715,                0.26467,              0.0037828,              0.0037828,              0.0037828
                    160,                0.04113,                0.16722,                0.86965,                0.95804,                0.96924,                0.97843,                0.97843,                0.07365,                0.16687,                0.26464,              0.0037432,              0.0037432,              0.0037432
                    161,                0.04044,                0.17274,                0.86769,                0.95677,                 0.9686,                0.97822,                0.97822,                0.07374,                0.16696,                0.26474,              0.0037036,              0.0037036,              0.0037036
                    162,                0.03985,                0.16622,                0.86661,                0.95572,                0.96787,                0.97853,                0.97853,                0.07368,                0.16797,                0.26491,               0.003664,               0.003664,               0.003664
                    163,                0.04061,                0.16448,                0.86574,                0.95541,                0.96712,                0.97857,                0.97857,                0.07387,                0.16743,                0.26539,              0.0036244,              0.0036244,              0.0036244
                    164,                0.04011,                0.16844,                0.86902,                0.95735,                0.96253,                0.97809,                0.97809,                0.07436,                0.16757,                0.26621,              0.0035848,              0.0035848,              0.0035848
                    165,                0.03942,                0.16326,                0.86637,                0.95616,                0.96206,                0.97791,                0.97791,                0.07435,                0.16708,                0.26613,              0.0035452,              0.0035452,              0.0035452
                    166,                0.03978,                0.16419,                0.86659,                0.95541,                0.96195,                0.97807,                0.97807,                0.07406,                0.16645,                0.26595,              0.0035056,              0.0035056,              0.0035056
                    167,                0.03896,                0.16664,                0.86962,                0.95544,                0.96203,                0.97805,                0.97805,                0.07419,                0.16692,                0.26628,               0.003466,               0.003466,               0.003466
                    168,                0.03923,                0.16575,                0.86441,                0.94664,                0.96566,                0.97773,                0.97773,                0.07395,                 0.1673,                0.26594,              0.0034264,              0.0034264,              0.0034264
                    169,                0.03955,                0.16492,                0.86893,                0.94435,                0.97146,                0.97729,                0.97729,                0.07349,                0.16706,                0.26531,              0.0033868,              0.0033868,              0.0033868
                    170,                0.03904,                0.16164,                0.86732,                0.94356,                0.97145,                0.97729,                0.97729,                0.07363,                0.16738,                0.26545,              0.0033472,              0.0033472,              0.0033472
                    171,                 0.0391,                0.16188,                0.86533,                0.94361,                0.97145,                0.97764,                0.97764,                0.07362,                0.16724,                0.26538,              0.0033076,              0.0033076,              0.0033076
                    172,                0.03802,                0.16146,                0.86565,                0.94328,                0.97145,                0.97694,                0.97694,                 0.0735,                0.16728,                0.26529,               0.003268,               0.003268,               0.003268
                    173,                0.03821,                0.16419,                0.86689,                0.94322,                0.97145,                0.97709,                0.97709,                0.07347,                0.16712,                0.26524,              0.0032284,              0.0032284,              0.0032284
                    174,                 0.0375,                0.16121,                0.86877,                0.94336,                0.97143,                0.97653,                0.97653,                0.07338,                0.16696,                0.26524,              0.0031888,              0.0031888,              0.0031888
                    175,                    inf,                0.15602,                0.86764,                0.94357,                0.97143,                0.97744,                0.97744,                0.07345,                0.16637,                0.26528,              0.0031492,              0.0031492,              0.0031492
                    176,                0.03772,                0.15829,                0.86608,                 0.9436,                0.97143,                0.97727,                0.97727,                0.07334,                0.16608,                0.26505,              0.0031096,              0.0031096,              0.0031096
                    177,                0.03809,                0.16023,                0.86624,                0.94178,                0.97144,                0.97669,                0.97669,                0.07318,                0.16575,                0.26488,                0.00307,                0.00307,                0.00307
                    178,                 0.0368,                0.16173,                0.86492,                0.93713,                0.97009,                0.97646,                0.97646,                0.07307,                0.16526,                0.26464,              0.0030304,              0.0030304,              0.0030304
                    179,                0.03633,                 0.1555,                0.86738,                0.96192,                0.94605,                0.97711,                0.97711,                0.07293,                0.16507,                0.26449,              0.0029908,              0.0029908,              0.0029908
                    180,                0.03726,                0.15796,                0.86433,                0.93733,                0.97273,                0.97663,                0.97663,                0.07267,                0.16494,                0.26423,              0.0029512,              0.0029512,              0.0029512
                    181,                0.03599,                0.15125,                0.86791,                0.93699,                0.97276,                0.97602,                0.97602,                0.07272,                 0.1646,                0.26416,              0.0029116,              0.0029116,              0.0029116
                    182,                0.03624,                0.15169,                0.86391,                 0.9366,                0.97276,                0.97641,                0.97641,                0.07252,                 0.1648,                0.26374,               0.002872,               0.002872,               0.002872
