                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.07808,                0.31267,                0.87412,                0.90409,                0.93949,                0.95768,                0.95545,                0.10226,                0.21707,                0.30023,               0.008614,               0.008614,               0.008614
                     38,                0.07826,                0.30781,                0.87254,                 0.9481,                0.92888,                0.96406,                0.95807,                0.11035,                  0.178,                0.30422,              0.0085744,              0.0085744,              0.0085744
                     39,                0.07674,                0.30942,                0.87583,                0.92414,                0.94566,                0.95274,                0.95054,                0.10898,                0.17278,                 0.2959,              0.0085348,              0.0085348,              0.0085348
                     40,                0.07594,                0.30547,                0.87631,                0.93027,                0.95293,                0.96699,                0.96539,                 0.1057,                0.19405,                0.29333,              0.0084952,              0.0084952,              0.0084952
                     41,                0.07645,                0.30363,                0.87484,                0.91177,                0.93545,                0.95286,                 0.9491,                0.12189,                 0.2352,                0.32468,              0.0084556,              0.0084556,              0.0084556
                     42,                0.07429,                0.30439,                0.87488,                0.91858,                0.94521,                 0.9591,                0.95861,                0.09932,                0.16805,                0.29038,               0.008416,               0.008416,               0.008416
                     43,                0.07373,                0.30876,                0.87267,                0.95234,                0.92486,                0.95596,                0.95539,                0.10484,                0.21953,                 0.3049,              0.0083764,              0.0083764,              0.0083764
                     44,                0.07287,                0.29851,                0.87249,                0.92749,                0.93394,                0.95547,                0.95264,                0.13599,                 0.2069,                0.33585,              0.0083368,              0.0083368,              0.0083368
                     45,                0.07308,                0.29422,                0.87184,                0.90337,                 0.9438,                0.95853,                 0.9567,                0.09182,                0.18815,                0.28687,              0.0082972,              0.0082972,              0.0082972
                     46,                0.07202,                0.29665,                0.87331,                0.92431,                0.95613,                0.95751,                 0.9552,                0.09985,                0.18395,                0.28899,              0.0082576,              0.0082576,              0.0082576
                     47,                0.07157,                0.29279,                0.87329,                0.91252,                0.96472,                0.96674,                0.96665,                0.11072,                0.21363,                0.30921,               0.008218,               0.008218,               0.008218
                     48,                0.07206,                0.29089,                0.87449,                0.91376,                0.94978,                0.95533,                0.95493,                0.09019,                0.22166,                0.28595,              0.0081784,              0.0081784,              0.0081784
                     49,                0.07187,                0.29313,                0.87573,                 0.9207,                0.96172,                0.96234,                0.96212,                0.10579,                0.19379,                0.29962,              0.0081388,              0.0081388,              0.0081388
                     50,                0.07041,                0.28682,                0.87301,                0.91806,                0.96894,                0.96251,                0.96239,                0.10956,                0.18826,                0.30073,              0.0080992,              0.0080992,              0.0080992
                     51,                0.06949,                0.28265,                0.87476,                0.90756,                0.95304,                0.96879,                0.96787,                0.12217,                0.20082,                 0.3238,              0.0080596,              0.0080596,              0.0080596
                     52,                0.06795,                0.28053,                0.87453,                0.93061,                0.91352,                 0.9493,                 0.9493,                0.08126,                0.22717,                 0.2781,                0.00802,                0.00802,                0.00802
                     53,                0.06734,                0.27868,                0.87251,                0.91248,                0.95021,                0.95749,                 0.9572,                0.09392,                0.23757,                0.28974,              0.0079804,              0.0079804,              0.0079804
                     54,                0.06655,                0.27752,                0.87131,                0.94481,                0.96942,                0.97791,                0.97689,                 0.1039,                0.21551,                0.29941,              0.0079408,              0.0079408,              0.0079408
                     55,                0.06698,                0.27539,                0.87219,                 0.9319,                0.95596,                0.97187,                0.97141,                0.08233,                 0.1884,                0.27387,              0.0079012,              0.0079012,              0.0079012
                     56,                0.06704,                0.27024,                0.87219,                 0.9386,                 0.9376,                0.96984,                0.96953,                0.09259,                0.17391,                0.28717,              0.0078616,              0.0078616,              0.0078616
                     57,                0.06975,                0.28311,                0.87406,                0.94387,                0.92851,                0.96605,                0.96605,                0.09282,                0.20625,                0.28696,               0.007822,               0.007822,               0.007822
                     58,                0.06699,                0.27077,                0.87081,                0.94364,                0.90862,                0.95913,                0.95768,                0.11887,                0.22123,                0.31361,              0.0077824,              0.0077824,              0.0077824
                     59,                0.06619,                0.26936,                0.87033,                0.96597,                0.90856,                0.96395,                0.96362,                0.12176,                0.18989,                0.31415,              0.0077428,              0.0077428,              0.0077428
                     60,                0.06591,                0.26144,                0.87186,                0.89742,                0.97113,                0.96371,                0.96362,                 0.1045,                0.22816,                0.30126,              0.0077032,              0.0077032,              0.0077032
                     61,                0.06403,                0.26051,                0.87073,                0.91495,                0.93794,                0.95977,                0.95842,                0.09708,                0.23326,                0.29404,              0.0076636,              0.0076636,              0.0076636
                     62,                0.06472,                0.26008,                0.87214,                0.92391,                0.96846,                0.97569,                0.97549,                0.12799,                0.22283,                0.33366,               0.007624,               0.007624,               0.007624
                     63,                0.06417,                0.26541,                 0.8716,                0.94926,                0.96208,                 0.9674,                0.96618,                0.12288,                0.26812,                0.32404,              0.0075844,              0.0075844,              0.0075844
                     64,                0.06398,                0.25633,                0.87189,                0.94943,                0.94538,                 0.9697,                 0.9697,                0.11185,                0.20595,                0.30967,              0.0075448,              0.0075448,              0.0075448
                     65,                0.06345,                 0.2593,                0.87033,                0.93003,                0.94815,                0.97211,                0.97211,                0.11981,                0.21692,                 0.3213,              0.0075052,              0.0075052,              0.0075052
                     66,                0.06319,                  0.252,                0.87114,                0.92147,                0.94785,                0.96605,                0.96605,                0.09057,                0.20776,                0.28252,              0.0074656,              0.0074656,              0.0074656
