                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9899,                 5.1839,                 1.7536,                0.89025,                0.03768,                0.04217,                0.01799,                   2.05,                 5.5474,                 1.8293,              0.0033185,              0.0033185,              0.0033185
                      2,                 1.9958,                 4.5047,                 1.6734,                0.90798,                0.04182,                0.03724,                0.01773,                 2.3053,                 5.2501,                 1.8388,              0.0066254,              0.0066254,              0.0066254
